"Date","BAC","C","JPM","WFC","GS","MS","AXP","COF","USB","FITB","XOM","CVX","COP","EOG","OXY","SLB","HAL","BKR","MRO","XEC"
2019-01-02,24.9599990844727,53.5299987792969,99.3099975585938,46.939998626709,172.029998779297,40.4000015258789,95.6800003051758,77.2600021362305,46.3499984741211,24.2000007629395,69.6900024414062,110.690002441406,63.3800010681152,90.6100006103516,62,37.2000007629395,27.2999992370605,21.0499992370605,14.7200002670288,62.7099990844727
2019-01-03,24.5599994659424,52.560001373291,97.1100006103516,46.5699996948242,169.509994506836,39.6800003051758,93.4300003051758,76.1600036621094,45.7000007629395,24.1800003051758,68.620002746582,108.569999694824,62.1800003051758,89.9700012207031,61.2400016784668,37.5999984741211,27.1299991607666,20.9099998474121,14.6199998855591,61.8400001525879
2019-01-04,25.5799999237061,55.1300010681152,100.690002441406,47.9500007629395,175.050003051758,41.2999992370605,97.6399993896484,79.5400009155273,46.8300018310547,24.7600002288818,71.1500015258789,110.819999694824,63.75,93.9199981689453,63.2099990844727,39.0900001525879,28.4200000762939,21.9599990844727,15.4099998474121,64.9300003051758
2019-01-07,25.5599994659424,55.6100006103516,100.76000213623,47.6399993896484,176.020004272461,41.7099990844727,98.1699981689453,79.9800033569336,46.6100006103516,24.8999996185303,71.5199966430664,112.26000213623,63.4700012207031,94.5100021362305,64.4800033569336,40.1699981689453,28.8199996948242,22.5499992370605,15.6199998855591,66.3600006103516
2019-01-08,25.5100002288818,55.4599990844727,100.569999694824,47.5400009155273,175.369995117188,41.4500007629395,98.6500015258789,80.0199966430664,46.9099998474121,25.0300006866455,72.0400009155273,111.769996643066,64.3199996948242,95.5199966430664,64.9899978637695,40.6699981689453,29.2000007629395,23.2099990844727,15.4799995422363,67.4300003051758
2019-01-09,25.7600002288818,56.3800010681152,100.400001525879,47.7999992370605,176.470001220703,41.7400016784668,98.8300018310547,80.5699996948242,47.4099998474121,25.0499992370605,72.4199981689453,113.269996643066,66.4499969482422,99.1900024414062,65.7799987792969,41.2400016784668,30,23.1700000762939,16.0699996948242,68.7099990844727
2019-01-10,25.7299995422363,56.439998626709,100.389999389648,47.75,176,41.6599998474121,98.2600021362305,79.9499969482422,47.310001373291,24.9200000762939,72.0500030517578,113.449996948242,67.9400024414062,99.120002746582,66.1900024414062,41.6500015258789,30.8700008392334,23.3500003814697,16.3500003814697,70.4599990844727
2019-01-11,26.0300006866455,56.689998626709,99.9100036621094,47.8699989318848,176.929992675781,41.7400016784668,98.5500030517578,80.9400024414062,47.439998626709,25.0599994659424,71.7200012207031,112.540000915527,66.3899993896484,96.870002746582,66.2200012207031,41.7400016784668,30.7000007629395,23.1000003814697,16.1100006103516,70.6399993896484
2019-01-14,26.3700008392334,58.9300003051758,100.940002441406,48.4199981689453,178.720001220703,42.4799995422363,98.4400024414062,81.4000015258789,47.7900009155273,25.3700008392334,71.629997253418,111.720001220703,65.6100006103516,98.5100021362305,65.5800018310547,41.3199996948242,30.3700008392334,23.2399997711182,15.8299999237061,72.0299987792969
2019-01-15,26.5499992370605,61.3800010681152,101.680000305176,47.6699981689453,179.910003662109,42.8800010681152,97.9899978637695,81.5199966430664,47.9700012207031,25.4599990844727,71.6699981689453,112.120002746582,66.0299987792969,98.5899963378906,65.5199966430664,41.7200012207031,30.3500003814697,23.0200004577637,15.8299999237061,73.3199996948242
2019-01-16,28.4500007629395,62.189998626709,102.5,48.939998626709,197.080001831055,44.4900016784668,99.4100036621094,83.620002746582,49.1100006103516,26.2600002288818,71.6399993896484,111.400001525879,65.6600036621094,98.6699981689453,65.1399993896484,41.25,30.3600006103516,23.1499996185303,15.539999961853,73.9199981689453
2019-01-17,28.9899997711182,62.4700012207031,102.919998168945,49.2299995422363,199.089996337891,42.5299987792969,99.4899978637695,83.6500015258789,49.75,26.4099998474121,72.129997253418,111.959999084473,67.0599975585938,99.0500030517578,65.8300018310547,41.3699989318848,30.8999996185303,23.6499996185303,15.789999961853,73.25
2019-01-18,29.2999992370605,63.1199989318848,104.589996337891,50.0099983215332,202.539993286133,43.689998626709,100.480003356934,84.9700012207031,50.2200012207031,27,72.9899978637695,114.370002746582,67.9000015258789,101.050003051758,67.0299987792969,44.7299995422363,32.25,24.1200008392334,16.1000003814697,74.7399978637695
2019-01-22,29.0900001525879,61.8499984741211,102.940002441406,49.8600006103516,197.679992675781,42.4099998474121,99.8300018310547,83.4000015258789,50.1399993896484,27.5599994659424,71.8899993896484,112.339996337891,65.75,96.8600006103516,65.120002746582,43.9599990844727,31.2600002288818,23.7700004577637,15.6899995803833,73.4700012207031
2019-01-23,28.9200000762939,62.1300010681152,102.680000305176,50.1199989318848,196.899993896484,42.1500015258789,99.7099990844727,78.1999969482422,50.5299987792969,27.5699996948242,71.3000030517578,111.389999389648,65.8600006103516,96.5699996948242,64.5699996948242,43.310001373291,31.0499992370605,22.9799995422363,15.5600004196167,72.379997253418
2019-01-24,29.0799999237061,62.7099990844727,102.73999786377,49.9799995422363,197.800003051758,42.0499992370605,99.7200012207031,80.1800003051758,50.8899993896484,27.6499996185303,71.4000015258789,113.51000213623,66.120002746582,97.2399978637695,64.9800033569336,43.560001373291,31.2099990844727,23.0400009155273,15.8000001907349,73.2699966430664
2019-01-25,29.5799999237061,64.0199966430664,103.389999389648,50.1300010681152,200.740005493164,42.9799995422363,100.769996643066,79.620002746582,51.3699989318848,27.7800006866455,71.7200012207031,113.220001220703,66.9899978637695,99.0999984741211,66.5299987792969,45,32.0999984741211,23.4899997711182,15.8999996185303,75.6999969482422
